HUC_12,period,total_load_kg_yr,inc_load_kg_yr,inc_yield_wo_decay_kg_ha_yr,delivery_fraction,stream_attenuation_local,watershed_attenuation_total,watershed_area_km2
70101010101,2001-2005,4043.5712200000003,4043.5712200000003,0.47836802211187457,0.0741164996,0.9039709419999999,0.06756323659999999,93.36982058878988
70101010101,2016-2020,3619.66032,3619.66032,0.43059353382571464,0.0821521928,0.8985936000000001,0.0742403596,93.36982058878988
70101010102,2001-2005,2187.5640599999997,2187.5640599999997,0.23130799369138688,0.06299588440000001,0.9058343860000001,0.057544443599999995,104.25981832766209
70101010102,2016-2020,2426.46684,2426.46684,0.2579181532380001,0.0693625748,0.900574166,0.0628385752,104.25981832766209
70101010103,2001-2005,3480.6767800000002,1643.7141199999999,0.21946950043256902,0.0748916916,0.915397102,0.06897625560000001,81.74297095788036
70101010103,2016-2020,3770.69594,1739.31342,0.2325373225031714,0.0834421268,0.913475594,0.0765837516,81.74297095788036
70101010104,2001-2005,8808.457879999998,2121.37192,0.28336507404209443,0.0859719562,0.94188068,0.0813218742,79.45652609486844
70101010104,2016-2020,8520.0104,1973.9429,0.26404849835682637,0.09644170399999999,0.939979774,0.090931738,79.45652609486844
70101010201,2001-2005,2836.68214,2836.68214,0.32412018179760277,0.05044056139999999,0.9142546619999999,0.0463754676,95.728620871178
70101010201,2016-2020,2266.68422,2266.68422,0.2586302192039021,0.056378829,0.91410458,0.051806376999999994,95.728620871178
70101010202,2001-2005,1318.88626,1318.88626,0.24404389898575335,0.0527628856,0.95916432,0.0507412872,56.34453906509141
70101010202,2016-2020,1011.8101399999999,1011.8101399999999,0.18712420750873165,0.0589942812,0.9590987280000001,0.0567170054,56.34453906509141
70101010203,2001-2005,4946.988240000001,1588.76618,0.24769542106480985,0.0606529809,0.8986292739999999,0.0548658858,71.37074849427464
70101010203,2016-2020,3891.2875,1233.4190999999998,0.19205065225145507,0.06789533319999999,0.898576568,0.061365259799999995,71.37074849427464
70101010204,2001-2005,889.5097599999999,889.5097599999999,0.21195031389936983,0.06567216680000001,0.9779500280000001,0.0643157532,42.91249384192133
70101010204,2016-2020,765.972296,765.972296,0.18246226585766354,0.0735678638,0.977960454,0.0720309874,42.91249384192133
70101010205,2001-2005,6408.0875399999995,2175.9195,0.1948415032686866,0.078059946,0.8504542519999999,0.0670575088,131.27332919787946
70101010205,2016-2020,5486.03218,2094.90456,0.187219353315502,0.087647269,0.85047933,0.075138324,131.27332919787946
70101010206,2001-2005,3930.3681599999995,3930.3681599999995,0.36847878769352194,0.08501089120000001,0.930582682,0.0795155178,114.5992442721619
70101010206,2016-2020,3339.12304,3339.12304,0.3135096712738752,0.0953024348,0.9283248260000001,0.0887996076,114.5992442721619
70101010207,2001-2005,17566.098,2088.96662,0.2651197077370255,0.1005212196,0.8979212799999999,0.0908923374,87.65299418272782
70101010207,2016-2020,16233.821600000001,2255.44446,0.2866688518091878,0.113654996,0.89562236,0.10229486080000001,87.65299418272782
70101010301,2001-2005,2368.85596,2368.85596,0.24210922459070047,0.054291577199999996,0.86899056,0.047584874,112.64511150331256
70101010301,2016-2020,2439.23756,2439.23756,0.24884800969969895,0.060706733400000004,0.868324548,0.0531385066,112.64511150331256
70101010302,2001-2005,3998.4017,2226.74154,0.2633455151102237,0.07102582799999999,0.864720806,0.0619559988,97.82300180512884
70101010302,2016-2020,3810.89872,1979.1362000000001,0.23362776012054215,0.0796915038,0.86415982,0.06938231660000001,97.82300180512884
70101010303,2001-2005,2002.38102,2002.38102,0.48565543406359757,0.075119953,0.9177476819999999,0.0692937048,44.92823938451531
70101010303,2016-2020,1789.4642,1789.4642,0.4336928414496385,0.0843569254,0.917410434,0.077720897,44.92823938451531
70101010304,2001-2005,1357.8669399999999,1357.8669399999999,0.2993296830414217,0.079781561,0.978049036,0.078154647,46.37873751424416
70101010304,2016-2020,1253.64292,1253.64292,0.2764700827844207,0.08960054120000001,0.977329292,0.0876708892,46.37873751424416
70101010305,2001-2005,6927.35868,996.2294679999999,0.21650829307865735,0.09016542400000001,0.8973821799999999,0.081442866,51.263524561471414
70101010305,2016-2020,6453.809579999999,915.570442,0.1987981268782953,0.1015723918,0.897070104,0.091573788,51.263524561471414
70101010306,2001-2005,10853.172199999999,4671.1107600000005,0.5452505914058693,0.1053561478,0.943935912,0.0998359668,90.72795221083274
70101010306,2016-2020,10024.501800000002,4280.35694,0.5002622399602753,0.11930175800000001,0.942126114,0.11269068679999998,90.72795221083274
70101010401,2001-2005,883.8831739999999,883.8831739999999,0.17710303302171465,0.0741462772,0.893711388,0.06719339939999999,55.74887121661792
70101010401,2016-2020,929.462716,929.462716,0.19054331089009685,0.07390842019999999,0.872115196,0.065258997,55.74887121661792
70101010402,2001-2005,1830.6863999999998,1038.37266,0.21663299681758813,0.08601995920000001,0.94544632,0.08184644519999999,50.655194274213486
70101010402,2016-2020,1879.0492400000003,1061.4315080000001,0.22353915254381515,0.0890441606,0.935972958,0.0837806328,50.655194274213486
70101010403,2001-2005,3407.25692,1717.48704,0.2968500969994743,0.09041368899999999,0.918553144,0.0847971932,62.79462930420741
70101010403,2016-2020,3341.44168,1657.20032,0.2947168954584466,0.094657591,0.8892958740000001,0.0857500002,62.79462930420741
70101010404,2001-2005,3372.7224800000004,600.984282,0.11643169051471769,0.10623857079999999,0.8983742720000001,0.09650035720000001,57.36794484793361
70101010404,2016-2020,3204.6964399999997,583.360312,0.1150497009696825,0.11803815799999999,0.88105143,0.104781814,57.36794484793361
70101010405,2001-2005,4206.63606,1076.4250200000001,0.1510664672010698,0.12126315060000001,0.9624353080000001,0.11700368720000001,74.01817151861492
70101010405,2016-2020,4061.4972399999997,1093.447952,0.15358699582495078,0.138227458,0.9611702120000001,0.1330739668,74.01817151861492
70101010406,2001-2005,1016.901734,1016.901734,0.17730097938861974,0.113832471,0.8963762519999999,0.10314122960000001,63.861293034271625
70101010406,2016-2020,1027.0797280000002,1027.0797280000002,0.18169154379278127,0.1275026164,0.8826670480000001,0.1132938392,63.861293034271625
70101010407,2001-2005,5409.1214,725.992438,0.11641218839881225,0.13241494999999998,0.9457393,0.125680438,65.92074855349337
70101010407,2016-2020,5270.24444,721.76145,0.11587618659702252,0.15177960000000001,0.94392536,0.143585768,65.92074855349337
