HUC_12,waterid,Year,observed_load_kg_yr,predicted_load_kg_yr,observed_yield_kg_km2_yr,predicted_yield_kg_km2_yr,demiarea,demtarea
70101010503,7010101050301,2001,14202.48826944116,29451.41,402.1420585981972,833.9137777359033,35.317092469633145,1627.856938514745
70101010503,7010101050302,2002,9668.52155050621,33498.418,273.763236846848,948.5044112508156,35.317092469633145,1627.856938514745
70101010503,7010101050303,2003,6734.76426392028,24447.518,190.6941877990399,692.2290678662413,35.317092469633145,1627.856938514745
70101010503,7010101050304,2004,8845.980798594983,39433.445,250.4730763496758,1116.5541170725262,35.317092469633145,1627.856938514745
70101010503,7010101050305,2005,9882.35565454008,33558.438,279.81792847294184,950.2038716481178,35.317092469633145,1627.856938514745
70101010503,7010101050306,2006,7584.570557308723,22174.97,214.75636942169572,627.8820947411457,35.317092469633145,1627.856938514745
70101010503,7010101050307,2007,8017.86328605278,29904.031,227.02501042368692,846.7296968376578,35.317092469633145,1627.856938514745
70101010503,7010101050308,2008,10645.42384252337,38245.887,301.4241291713544,1082.92852909353,35.317092469633145,1627.856938514745
70101010503,7010101050309,2009,15176.889478953644,32281.2,429.73213301755396,914.0390032887473,35.317092469633145,1627.856938514745
70101010503,7010101050310,2010,18223.128296428546,34575.25,515.9860855504292,978.9948034292175,35.317092469633145,1627.856938514745
70101010503,7010101050311,2011,20965.60226719125,30622.215,593.638966322559,867.0650061674821,35.317092469633145,1627.856938514745
70101010503,7010101050312,2012,11463.301232371376,19405.826,324.58224703032727,549.4740547140397,35.317092469633145,1627.856938514745
70101010503,7010101050313,2013,17123.277228761563,34098.01,484.8439107348587,965.4817997636313,35.317092469633145,1627.856938514745
70101010503,7010101050314,2014,22448.684631015545,39923.098,635.6322975997443,1130.4185936123495,35.317092469633145,1627.856938514745
70101010503,7010101050315,2015,15242.204303672484,25755.635,431.5815158560478,729.2682720738006,35.317092469633145,1627.856938514745
70101010503,7010101050316,2016,7854.260639155566,24780.648,222.39261756637896,701.6616110543997,35.317092469633145,1627.856938514745
70101010503,7010101050317,2017,9623.624129396389,25165.0,272.4919707835834,712.5445001351042,35.317092469633145,1627.856938514745
70101010503,7010101050318,2018,17156.578295735315,31172.725,485.7868271712099,882.6526426772924,35.317092469633145,1627.856938514745
70101010503,7010101050319,2019,33254.32905692741,42777.676,941.5930568327682,1211.2456889474047,35.317092469633145,1627.856938514745
70101010503,7010101050320,2020,26240.52598163828,28551.078,742.997912532035,808.420965699518,35.317092469633145,1627.856938514745
70200011009,7020001100901,2001,693767.3494984839,233331.38,18526.456366942923,6230.912471930945,37.4473852828318,1191.6251812541311
70200011009,7020001100902,2002,23457.205744831783,113807.98,626.404368894242,3039.143564775846,37.4473852828318,1191.6251812541311
70200011009,7020001100903,2003,1804.842808353144,64057.496,48.19676446623886,1710.5999662242884,37.4473852828318,1191.6251812541311
70200011009,7020001100904,2004,3007.5363546996937,147313.3,80.3136542640945,3933.8741246518357,37.4473852828318,1191.6251812541311
70200011009,7020001100905,2005,47378.49423933011,145933.84,1265.2016657903039,3897.0368397631514,37.4473852828318,1191.6251812541311
70200011009,7020001100906,2006,31777.802594845645,120890.44,848.5987033496449,3228.274526697693,37.4473852828318,1191.6251812541311
70200011009,7020001100907,2007,181054.8158165576,261739.66,4834.912089297843,6989.530991900726,37.4473852828318,1191.6251812541311
70200011009,7020001100908,2008,389099.2211020478,283670.5,10390.55779631255,7575.175085189515,37.4473852828318,1191.6251812541311
70200011009,7020001100909,2009,137587.68227324082,362094.22,3674.1599242262587,9669.412624277571,37.4473852828318,1191.6251812541311
70200011009,7020001100910,2010,225783.1755177831,423252.9,6029.344206878339,11302.60221917404,37.4473852828318,1191.6251812541311
70200011009,7020001100911,2011,738197.031504589,607102.3,19712.91255528658,16212.141259388096,37.4473852828318,1191.6251812541311
70200011009,7020001100912,2012,57783.58178215162,170796.11,1543.0605193319916,4560.962233010791,37.4473852828318,1191.6251812541311
70200011009,7020001100913,2013,72110.52719836947,434842.12,1925.6491916253867,11612.082304698548,37.4473852828318,1191.6251812541311
70200011009,7020001100914,2014,219901.47937894764,504425.72,5872.278604182388,13470.252093442154,37.4473852828318,1191.6251812541311
70200011009,7020001100915,2015,57405.22004814166,254828.05,1532.9566968313743,6804.9624312976775,37.4473852828318,1191.6251812541311
