HUC_12,period,N_surplus_kgN_ha_yr,Manure_surplus_kgN_ha_yr,Fertilizer_surplus_kgN_ha_yr,Fix_surplus_kgN_ha_yr,ndep_surplus_kgN_ha_yr,Human_kgN_ha_yr,Total_Uptake_kgN_ha_yr
70101010101,2001-2005,22.95314031539754,12.694514799883022,8.82755082839313,14.227296488552806,7.45106168532754,0.20969919622900646,20.456982682987967
70101010101,2016-2020,16.084710906533637,9.073603828960561,5.6776135827130805,18.53465700200535,6.608176295642546,0.2130882344781396,24.022428037266042
70101010102,2001-2005,13.460085930359142,7.395253123129862,2.8234147446801887,8.594922108767204,7.254955221891831,0.365952106067194,12.97441137417714
70101010102,2016-2020,14.766381538249576,5.897136819269898,4.853286483828569,12.154780773114904,6.381105561088047,0.3906762826806553,14.910604381732497
70101010103,2001-2005,12.247299726293722,5.478275292072821,2.2586254154870273,6.366743044605313,7.253999949230696,0.5006926743626959,9.611036649464832
70101010103,2016-2020,10.667692698907416,2.3664495532301224,2.0835381720773305,4.878155760225535,6.380000104525038,0.9391821065080276,5.979632997658639
70101010104,2001-2005,16.469792441676997,7.755797188237028,5.004309674703849,8.745882161458335,7.4056414526213645,0.23377830457387477,12.675616339917452
70101010104,2016-2020,12.01084620967601,4.859869576700079,3.1893207942914663,9.941163184207939,6.555585023892002,0.24162736328892728,12.776719732704402
70101010201,2001-2005,8.41337871850315,0.4282480344448637,0.35291514533618096,0.5095848621338528,7.668492281841547,0.18130939772483884,0.7271710029781332
70101010201,2016-2020,7.142922741563763,0.11531070280946569,0.08940600701474014,0.2351331586314866,6.827430569720953,0.1835900847034105,0.30794778131629397
70101010202,2001-2005,8.195776187554168,0.4127827037464488,0.30872062769803127,0.4607427964982331,7.482000123423643,0.1900000054133176,0.6584700692255059
70101010202,2016-2020,6.971241476054732,0.12240576564340519,0.09213082256444007,0.24960087609132478,6.6439997975419205,0.1900000054133176,0.3268957911996778
70101010203,2001-2005,12.671607463923142,4.004191641238012,2.9318814127987745,4.469569307841107,7.482000045975916,0.1714472616872479,6.387482205617916
