waterid,HUC_12,Year,feature_Precipitation_mm,feature_Tile_Drainage_pct,feature_Clay_Soil_pct,feature_Air_Temperature_degC,feature_CRP_pct,feature_No_Till_pct,feature_Cover_Crop_pct,feature_Forest_pct,feature_Wetlands_pct,SHAP_Precipitation_mm,SHAP_Tile_Drainage_pct,SHAP_Clay_Soil_pct,SHAP_Air_Temperature_degC,SHAP_CRP_pct,SHAP_No_Till_pct,SHAP_Cover_Crop_pct,SHAP_Forest_pct,SHAP_Wetlands_pct
7070003180913,70700031809,2013,-24.741457,-20.389591,-17.175507,-2.3037088,-2.1742742,6.543938,0.7670747,28.7393,33.874798,-0.009460548870265484,-0.07242542505264282,0.10183863341808319,0.04749656841158867,0.022278640419244766,0.0022398943547159433,0.000854702724609524,-0.11400161683559418,-0.3068879246711731
7020001040605,70200010406,2005,-155.71205,-7.3627324,1.7687104,-1.1890736,-0.07968419,-7.3449516,0.0,0.833654,1.7806327,-0.05432386323809624,-0.065886951982975,0.009045230224728584,0.04404355213046074,0.005926371086388826,-0.016940390691161156,0.0030784832779318094,0.047835804522037506,0.018757164478302002
7070001050314,70700010503,2014,54.504948,-22.993746,-19.981316,-6.4244123,-2.7008178,-26.789396,0.0,43.432507,38.089115,0.001972912810742855,-0.07348515838384628,0.10842538625001907,0.11638766527175903,0.024908244609832764,-0.018166961148381233,0.0022871759720146656,-0.1864585280418396,-0.3194342851638794
7140201110317,71402011103,2017,33.699432,-20.281174,4.84225,4.547203,0.20598061,23.210604,1.3315854,31.102892,2.048424,-0.0024357407819479704,-0.09460911154747009,-0.007300117053091526,-0.08993352949619293,0.004384319297969341,0.017687570303678513,-0.00014948422904126346,-0.1605454832315445,0.003828842891380191
7020005011020,70200050110,2020,-438.2021,2.3764453,2.4827037,-2.3268607,1.3187757,-14.971214,1.1890279,1.8174348,7.3147445,-0.1097143366932869,-0.03197544440627098,0.004858715925365686,0.06491801887750626,-0.00219145230948925,-0.02794031798839569,0.00016526576655451208,0.03741966187953949,-0.09011779725551605
7120003020302,71200030203,2002,-151.57349,-17.545727,12.124775,2.008789,-2.6325722,-26.789396,4.687095,6.3462863,7.5287166,-0.04098165035247803,-0.08694136887788773,-0.05435938760638237,-0.038045190274715424,0.021264515817165375,-0.040053319185972214,-0.005411944352090359,0.00674048624932766,-0.09192639589309692
7130009070103,71300090701,2003,114.895386,-14.041332,7.7699113,1.7528328,-1.3732107,6.543938,0.0,0.022591546,0.05853264,0.020354872569441795,-0.08856455981731415,-0.030470730736851692,-0.041969798505306244,0.009385204873979092,0.0029900509398430586,0.0033878949470818043,0.054796818643808365,0.060782913118600845
7030005100220,70300051002,2020,-34.224453,-21.62286,-8.911956,-2.5420907,-1.3510236,13.210604,3.0035915,12.297761,2.9280849,-0.01887410506606102,-0.10398019850254059,0.07332229614257812,0.07823272049427032,0.01044570840895176,0.009926766157150269,-0.003637742716819048,-0.035436805337667465,-0.006855047307908535
7140204020216,71402040202,2016,186.19067,-22.639326,4.573819,5.572142,-1.5059377,-1.7893966,0.59361815,17.993893,2.809041,0.029447462409734726,-0.0994914174079895,-0.007287467829883099,-0.12031808495521545,0.013407286256551743,-0.007927590049803257,0.0011521741980686784,-0.07190979272127151,-0.004954812116920948
7030001100506,70300011005,2006,-338.4613,-22.993746,-11.7918825,-1.8418922,-2.6708093,-26.789396,0.0,46.39726,32.100994,-0.04819466546177864,-0.07522235810756683,0.06959427148103714,0.036747902631759644,0.02602318301796913,-0.017900889739394188,0.0023430632427334785,-0.2033587098121643,-0.25560349225997925
