HUC_12,Year,N_Export_Rate,Stream_Loss,Reservoir_Loss,Reservoir_Attenuation,Stream_Attenuation
70101010101,2001,0.027298626,0.09077059,0.68588144,0.0,0.37244716636576747
70101010102,2001,0.020881265,0.09337863,0.68287736,0.0,0.33215037134822345
70101010103,2001,0.020420168,0.09420939,0.68336236,0.0,0.4192051494005914
70101010104,2001,0.017378816,0.089784905,0.68629473,0.0,0.2884081422297141
70101010201,2001,0.016134128,0.09315736,0.66681856,0.0,0.23854261824943793
70101010202,2001,0.012734267,0.08492431,0.6619034,0.0,0.13093590528970567
70101010203,2001,0.01307959,0.09170537,0.6703182,0.0,0.21741561903523693
70101010204,2001,0.011077941,0.08669241,0.67564416,0.0,0.10275812748127901
70101010205,2001,0.011542259,0.09438618,0.6799221,0.0,0.37430076512852584
70101010206,2001,0.020025056,0.09317852,0.67787766,0.0,0.3836829599988668
70101010207,2001,0.022578618,0.09501246,0.6869024,0.0,0.23459805129012082
70101010301,2001,0.01268519,0.09324634,0.6730117,0.0,0.4958270273187187
70101010302,2001,0.013698411,0.09321871,0.6788516,0.0,0.4215229962840525
70101010303,2001,0.02474563,0.09276179,0.68487436,0.0,0.30029358481096885
70101010304,2001,0.016336136,0.09352827,0.6864625,0.0,0.13548522678663077
70101010305,2001,0.011682902,0.094510764,0.6891396,0.0,0.2234379415938631
70101010306,2001,0.030491611,0.09538023,0.6897833,0.0,0.15626313349634582
70101010401,2001,0.0171622,0.09479822,0.6812085,0.0,0.28658724037069
70101010402,2001,0.020801706,0.09522144,0.68194544,0.0,0.14026988591839581
70101010403,2001,0.028435761,0.09458121,0.6842802,0.06285982443390707,0.0
70101010404,2001,0.011214483,0.09440611,0.6843417,0.0,0.17877509066889977
70101010405,2001,0.014524198,0.094960384,0.68528056,0.0,0.15996420190439647
70101010406,2001,0.017178312,0.09276357,0.6839562,0.0,0.40805336066276343
70101010407,2001,0.011167274,0.095128104,0.6861749,0.0,0.17684791854649218
70101010408,2001,0.009254485,0.095020704,0.6801633,0.07290451815992599,0.0
70101010409,2001,0.010403409,0.094903596,0.6867095,0.0,0.25746274628669147
70101010410,2001,0.007676347,0.09405303,0.6945799,0.0,0.21182958303132604
70101010411,2001,0.013861282,0.094869494,0.694131,0.0,0.2670443325158392
70101010501,2001,0.02385941,0.09266555,0.6838131,0.0,0.2522711609055961
70101010502,2001,0.04303902,0.09495541,0.6867665,0.0,0.18969104671174225
70101010504,2001,0.02294842,0.09399356,0.69922704,0.0,0.22491219338926666
70101010505,2001,0.019244902,0.094885916,0.6951733,0.0,0.22534181639343265
70101010506,2001,0.023549862,0.0939894,0.6999963,0.0,0.10409965383534538
70101010507,2001,0.03298962,0.09318133,0.7046484,0.0,0.10344872191354741
70101010508,2001,0.04074344,0.094699726,0.70215154,0.21383263374898012,0.0
70101010601,2001,0.009693538,0.09533332,0.6818584,0.0,0.1518124221148144
70101010602,2001,0.009766914,0.09372133,0.6765476,0.0,0.23891011670138995
70101010603,2001,0.008951135,0.09057296,0.67701167,0.0,0.19990223113194486
70101010604,2001,0.00983642,0.091742456,0.68822896,0.0,0.28459655907185316
70101010701,2001,0.009536487,0.0938306,0.70711243,0.0,0.08157548600091763
70101010702,2001,0.011145558,0.09447181,0.69823724,0.06260957701988783,0.0
70101010703,2001,0.011090077,0.093611434,0.704777,0.0033698276228582647,0.0
70101010704,2001,0.034284275,0.09467995,0.7103048,0.6898258170450561,0.0
70101010801,2001,0.026708856,0.09404418,0.6970721,0.0,0.23051928096371857
70101010802,2001,0.015712269,0.095594,0.6898752,0.0,0.09848391380641115
70101010803,2001,0.011140614,0.090978034,0.6993194,0.3072279317252639,0.0
70101010901,2001,0.0106055,0.09377309,0.71651,0.0001145129956083436,0.0
70101010902,2001,0.01372334,0.09054439,0.7122832,0.46409637293480854,0.0
70101010903,2001,0.010279211,0.09323518,0.711694,0.0,0.13886047289194148
70101010904,2001,0.009174901,0.085001886,0.7073441,0.0,0.19004219924149918
70101010905,2001,0.01410698,0.08764448,0.7103679,0.0,0.037656875597276346
70101010906,2001,0.02420886,0.091267854,0.69396484,0.0,0.11155746847900118
70101010907,2001,0.024017267,0.09243676,0.7031149,0.0,0.3043675120704872
70101010908,2001,0.01671974,0.0938416,0.71511286,0.0,0.19658654514587642
70101010909,2001,0.018798515,0.09191168,0.71819705,0.0012376726132343962,0.0
70101020101,2001,0.022840206,0.09342829,0.6941982,0.0,0.2758310684087927
70101020102,2001,0.018582731,0.09145676,0.6940803,0.0,0.26751639604707833
70101020103,2001,0.0181713,0.089667045,0.6979242,0.0,0.16887856896340647
70101020104,2001,0.014125488,0.095139205,0.70176667,0.0,0.19710987798892318
70101020105,2001,0.016509801,0.09539808,0.706703,0.0,0.19947401354308505
70101020201,2001,0.014305872,0.09219957,0.6936761,0.0,0.5694623377027377
70101020202,2001,0.019894572,0.09239794,0.69655704,0.0,0.0981756468753569
70101020203,2001,0.025520185,0.08459418,0.7074966,0.0,0.11917093540937931
70101020204,2001,0.018645711,0.09525458,0.7107614,0.0,0.24945579228438694
70101020301,2001,0.028322313,0.09458202,0.72817916,0.0,0.3587847616390922
70101020302,2001,0.024668278,0.09460938,0.72675914,0.0,0.20555434673377687
70101020303,2001,0.018802887,0.0945315,0.72713447,0.0,0.3893531415611147
70101020304,2001,0.017036077,0.09471015,0.7279746,0.0,0.15199983464047115
70101020305,2001,0.030442795,0.0950517,0.72401285,0.0,0.20137278184765692
70101020401,2001,0.012263152,0.09342221,0.72118676,0.0,0.2771359461184871
70101020402,2001,0.013774388,0.095439374,0.716285,0.0,0.3200004352413197
