site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05200510,S1_1_1,610.0,1579.8938999999998,45795.2660261352,847509.7046248922,0.289862920707113,5.364345698308552,9987.682224429089,18291.318773963383,8.993815565214371,7.967792072312662,-0.22664549690144456,-5.248570083414645
USGS-05227500,S1_1,5530.0,14322.644699999999,148611.7382032852,-577772.2192216464,0.103759983799141,-0.403397718315003,248561.47351292183,320424.14546190057,78.99963751602964,103.068337105357,0.06978441300693344,0.6271162787997855
USGS-05244000,S1_2_1,1030.0,2667.6897,85240.8941352828,125117.27870022485,0.31953076902191,0.469009865353624,256978.5894328829,262057.86029223166,12.337917654885546,14.058869214181902,0.6437693832892188,0.5133302482369176
USGS-05247500,S1_2,2730.0,7070.672699999999,527290.9558532119,1681531.4978505513,0.74574369119534,2.378177535852496,434166.51253138407,521137.0945393939,46.613837611648776,61.93271845162542,-0.13170521005989694,-1.6411372051080197
USGS-05275000,S1_3,559.0,1447.80441,299428.7072745052,894738.3977008729,2.068157170998707,6.179967345871484,235511.70367103704,309580.7559934357,9.161127948949952,11.836620420469796,-0.4414754034591467,-4.041689869610476
USGS-05293000,S1_4_1,459.0,1188.80541,89743.47978282307,329226.36305413174,0.754904705411991,2.769388162980616,285362.5578217418,368757.6757458353,2.54062094698262,5.638103031715548,1.6455096552674566,0.3325297173042269
USGS-05300000,S1_4_2,960.0,2486.3903999999998,312263.8340600468,1055989.813086907,1.255892212502296,4.247079674563202,487905.7447751118,1241519.6969359517,6.045572215501476,15.598415518342389,0.7064132435319288,0.7461816287942746
USGS-05304500,S1_4_3,1880.0,4869.1812,615203.891658361,1417380.461501104,1.263464772389988,2.910921576508806,922405.6959154662,2716880.7736430718,14.553649463940474,26.250857865001876,0.6309106020887151,2.668827178051964
USGS-05316500,S1_4_4,629.0,1629.1037099999999,1040052.0413948763,3466030.917813672,6.384197856837957,21.275692250517753,1271682.7142199199,3058320.6904280656,5.503363722656894,16.458447746552046,1.4218288952582618,-2.5026658823679595
USGS-05316580,S1_4,5042.0,13058.72958,4016385.118730959,10816111.331537884,3.07563235315189,8.282667364598176,1515187.6314163962,11509028.436618619,59.20897970222681,140.0895698682644,-1.915345188819327,0.5306160150080502
